"Ximee","시므이","-","iris Labels","2002"
"Ahn Yujin","안유진","-","Starship Entertainment","A","2003","t","72"
"Jang Wonyoung","장원영","-","Starship Entertainment","B","2004","t","74"
"Miyawaki Sakura","宮脇咲良","미야와키 사쿠라","HKT48","A","1998","t","40"
"Kwon Eunbi","권은비","-","Woollim Entertainment","C","1995","t","90"
"Goto Moe","後藤萌咲","고토 모에","AKB48","C","2001","t","5"
"Yabuki Nako","矢吹奈子","야부키 나코","HKT48","A","2001","t","45"
"Wang Yiren","王怡人","왕이런","Yuehua Entertainment","C","2000","t","95"
"Choi Yena","최예나","-","Yuehua Entertainment","B","1999","t","93"
"Lee Chaeyeon","이채연","-","WM Entertainment","A","2000","t","85"
"Takeuchi Miyu","竹内美宥","타케우치 미유","AKB48","B","1996","t","21"
"Honda Hitomi","本田仁美","혼다 히토미","AKB48","A","2001","t","6"
"Matsui Jurina","松井珠理奈","마츠이 쥬리나","SKE48","B","1997","s","71"
"Yamada Noe","山田野絵","야마다 노에","NGT48","F","1999","s","59"
"Kim Minju","김민주","-","Urban Works","C","2001","s","81"
"Shiroma Miru","白間美瑠","시로마 미루","NMB48","D","1997","s","63"
"Jang Gyuri","장규리","-","Stone Music Entertainment","F","1997","s","76"
"Takahashi Juri","高橋朱里","타카하시 쥬리","AKB48","A","1997","s","20"
"Jo Yuri","조유리","-","Stone Music Entertainment","F","2001","s","77"
"Kim Sihyun","김시현","-","Yuehua Entertainment","A","1999","s","94"
"Miyazaki Miho","宮崎美穂","미야자키 미호","AKB48","D","1993","s","10"
"Heo Yunjin","허윤진","-","Pledis Entertainment","F","2001","s","66"
"Lee Sian","이시안","-","Stone Music Entertainment","D","1999","s","78"
"Chiba Erii","千葉恵里","치바 에리이","AKB48","F","2003","s","4"
"Kang Hyewon","강혜원","-","8D Creative","F","1999","s","1"
"Go Yujin","고유진","-","Blockberry Creative","A","2000","s","24"
"Iwatate Saho","岩立沙穂","이와타테 사호","AKB48","D","1994","s","8"
"Kim Chaewon","김채원","-","Woollim Entertainment","B","2000","s","87"
"Na Goeun","나고은","-","Rainbow Bridge World","A","1999","s","68"
"Murakawa Vivian","村川緋杏","-","HKT48","F","1999","s","42"
"Kojima Mako","小嶋真子","코지마 마코","AKB48","B","1997","s","9"
"Son Eunchae","손은채","-","Million Market","B","1999","s","52"
"Muto Tomu","武藤十夢","무토 토무","AKB48","D","1994","s","12"
"Kim Doah","김도아","-","FENT","C","2003","s","33"
"Lee Haeun","이하은","-","MNH Entertainment","A","2004","s","57"
"Shitao Miu","下尾みう","시타오 미우","AKB48","D","2001","s","19"
"Bae Eunyeong","배은영","-","Stone Music Entertainment","B","1997","s","75"
"Kim Nayoung","김나영","-","Banana Culture","A","2002","s","23"
"Nakanishi Chiyori","中西智代梨","나카니시 치요리","AKB48","C","1995","s","14"
"Murase Sae","村瀬紗英","무라세 사에","NMB48","C","1997","s","61"
